40,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/quarante/,,lsf-1 chiffre mathématique
60,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/soixante/,,lsf-1 chiffre mathématique
70,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/septante/,,lsf-1 chiffre mathématique
80,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/huitante-quatre-vingts/,,lsf-1 chiffre mathématique
100,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/cent/,,lsf-1 chiffre mathématique
1000,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/mille-1/,,lsf-2 chiffre mathématique
6ème,,,,,,lsf-1 mathématique
abeille,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abeille/,,lsf-1 animal
abricot,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/abricot/,,lsf-1 nature nourriture
accepter,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accepter/,,lsf-2 verbe
accident,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accident/,,lsf-2 
accompagner,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accompagner/,,lsf-1 verbe verbe-dir
accrocher,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/accrocher/,,lsf-2 verbe
acheter,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/acheter/,,lsf-1 verbe
acouphène,,,,,,lsf-1 
acteur - actrice,,,,,,lsf-1 profession
administration,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/administration/,,lsf-2 
admirer,,,(variante GE),https://signsuisse.sgb-fss.ch/fr/lexikon/g/admirer/,,lsf-1 verbe
adorer,,,(variante FR),https://signsuisse.sgb-fss.ch/fr/lexikon/g/adorer/,,lsf-1 verbe
adresse,Indication de lieu.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/adresse-1/,,lsf-2 
Afrique,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/afrique/,,lsf-2 continent lieu
agacer,,[sound:agacer.mp4],,,,lsf-2 verbe verbe-inv-dir
agence,Entreprise commerciale servant d'intermédiaire.,[sound:agence.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agence/,,lsf-2 service
agité-e,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/agite-agitee/,,lsf-2 adjectif
